Order ID,Product,Category,Region,Customer ID,Customer Segment,Order Date,Sales Amount,Quantity,Discount,Profit
ORD1000,Camera,Accessories,Urban,CUST19,Individual,2023-10-17,1115.39,4,0.22,430.06
ORD1001,Headphones,Electronics,Rural,CUST13,Individual,2022-04-25,1980.06,10,0.18,74.3
ORD1002,Camera,Accessories,Rural,CUST7,Corporate,2022-01-26,249.71,3,0.05,271.62
ORD1003,Laptop,Accessories,Urban,CUST38,Corporate,2022-10-09,1668.64,7,0.11,135.3
ORD1004,Smartphone,Accessories,Urban,CUST50,Corporate,2022-09-08,1515.12,5,0.2,443.74
ORD1005,Monitor,Electronics,Rural,CUST79,Corporate,2022-08-17,630.53,5,0.01,42.85
ORD1006,Tablet,Accessories,Rural,CUST54,Individual,2022-05-23,1998.66,3,0.26,42.32
ORD1007,Tablet,Accessories,Urban,CUST32,Individual,2022-04-15,926.98,3,0.08,14.22
ORD1008,Monitor,Accessories,Urban,CUST21,Corporate,2023-11-24,729.73,1,0.16,256.05
ORD1009,Mouse,Accessories,Urban,CUST42,Corporate,2023-07-13,1642.62,10,0.01,20.44
ORD1010,Smartphone,Accessories,Urban,CUST74,Individual,2022-03-31,906.19,7,0.3,293.04
ORD1011,Monitor,Accessories,Urban,CUST93,Corporate,2023-08-28,1988.22,10,0.2,205.54
ORD1012,Smartwatch,Accessories,Rural,CUST41,Individual,2023-03-09,1562.48,1,0.2,297.07
ORD1013,Camera,Electronics,Urban,CUST25,Individual,2022-02-02,512.04,3,0.01,453.62
ORD1014,Laptop,Electronics,Semiurban,CUST98,Individual,2022-01-31,1630.87,10,0.21,278.04
ORD1015,Monitor,Accessories,Semiurban,CUST21,Corporate,2022-04-06,1196.45,6,0.13,274.02
ORD1016,Laptop,Electronics,Semiurban,CUST64,Individual,2022-08-12,733.73,10,0.11,499.37
ORD1017,Mouse,Accessories,Semiurban,CUST66,Individual,2022-08-27,1435.97,4,0.16,238.69
ORD1018,Mouse,Electronics,Urban,CUST60,Individual,2023-06-02,1283.9,10,0.14,388.72
ORD1019,Smartwatch,Accessories,Semiurban,CUST64,Individual,2023-09-09,373.66,2,0.05,186.08
ORD1020,Tablet,Accessories,Rural,CUST40,Individual,2022-01-28,321.51,8,0.21,115.54
ORD1021,Monitor,Accessories,Semiurban,CUST64,Individual,2023-07-29,452.91,3,0.19,387.21
ORD1022,Smartphone,Accessories,Urban,CUST3,Corporate,2022-07-23,453.54,6,0.09,367.95
ORD1023,Tablet,Electronics,Semiurban,CUST12,Individual,2023-10-28,165.75,2,0.2,149.04
ORD1024,Tablet,Accessories,Rural,CUST51,Individual,2023-12-20,734.09,4,0.2,235.03
ORD1025,Smartphone,Electronics,Urban,CUST65,Individual,2023-07-13,598.12,6,0.08,257.65
ORD1026,Camera,Electronics,Urban,CUST59,Corporate,2023-03-06,1100.6,6,0.18,201.41
ORD1027,Mouse,Accessories,Urban,CUST31,Corporate,2022-08-14,681.12,3,0.04,253.57
ORD1028,Camera,Electronics,Semiurban,CUST28,Individual,2023-04-05,1422.9,2,0.25,333.03
ORD1029,Monitor,Accessories,Semiurban,CUST75,Individual,2023-08-27,614.2,6,0.03,424.75
ORD1030,Tablet,Electronics,Urban,CUST46,Individual,2022-10-12,571.32,8,0.22,404.24
ORD1031,Monitor,Accessories,Semiurban,CUST7,Individual,2022-01-07,1723.13,1,0.04,308.95
ORD1032,Camera,Electronics,Rural,CUST7,Corporate,2022-06-13,1971.7,5,0.03,87.09
ORD1033,Mouse,Electronics,Urban,CUST37,Individual,2023-12-16,1374.63,4,0.03,259.5
ORD1034,Headphones,Accessories,Rural,CUST64,Corporate,2023-03-09,235.69,4,0.06,225.88
ORD1035,Smartwatch,Electronics,Rural,CUST77,Corporate,2022-12-15,1927.41,2,0.06,93.68
ORD1036,Monitor,Electronics,Semiurban,CUST84,Individual,2022-10-12,1582.1,6,0.08,474.61
ORD1037,Monitor,Accessories,Semiurban,CUST87,Corporate,2022-06-09,1841.6,5,0.16,331.41
ORD1038,Headphones,Accessories,Urban,CUST61,Individual,2022-08-09,1985.35,2,0.06,484.03
ORD1039,Camera,Accessories,Rural,CUST37,Individual,2022-12-11,1740.74,1,0.21,369.28
ORD1040,Monitor,Accessories,Semiurban,CUST69,Corporate,2022-04-15,297.43,1,0.09,244.33
ORD1041,Mouse,Electronics,Rural,CUST2,Corporate,2022-04-05,1738.85,7,0.01,182.6
ORD1042,Laptop,Accessories,Semiurban,CUST14,Corporate,2023-01-25,536.87,8,0.15,113.32
ORD1043,Camera,Accessories,Rural,CUST56,Individual,2022-04-10,1437.22,7,0.06,246.38
ORD1044,Camera,Accessories,Urban,CUST18,Individual,2023-01-03,1665.54,3,0.28,36.12
ORD1045,Smartwatch,Accessories,Semiurban,CUST34,Corporate,2022-12-19,1534.87,7,0.1,187.87
ORD1046,Monitor,Electronics,Urban,CUST94,Corporate,2023-09-11,1368.66,8,0.0,26.19
ORD1047,Tablet,Electronics,Rural,CUST47,Individual,2022-09-28,1004.44,7,0.2,107.35
ORD1048,Keyboard,Electronics,Rural,CUST98,Corporate,2022-02-14,1175.98,6,0.27,454.32
ORD1049,Keyboard,Accessories,Urban,CUST52,Corporate,2023-04-16,574.0,9,0.25,183.82
ORD1050,Keyboard,Electronics,Rural,CUST47,Corporate,2023-07-04,857.74,7,0.2,237.49
ORD1051,Smartwatch,Electronics,Semiurban,CUST6,Corporate,2022-05-08,931.38,2,0.04,230.05
ORD1052,Mouse,Accessories,Semiurban,CUST52,Corporate,2023-01-23,1285.57,8,0.03,27.99
ORD1053,Keyboard,Electronics,Rural,CUST7,Individual,2022-03-22,1766.24,10,0.15,490.39
ORD1054,Headphones,Electronics,Rural,CUST73,Corporate,2023-07-20,231.53,4,0.22,165.42
ORD1055,Smartphone,Accessories,Rural,CUST72,Corporate,2022-10-28,1055.45,3,0.03,353.35
ORD1056,Camera,Electronics,Rural,CUST25,Individual,2023-10-06,592.54,8,0.08,263.08
ORD1057,Mouse,Accessories,Semiurban,CUST47,Corporate,2023-09-26,1875.86,2,0.07,415.68
ORD1058,Tablet,Electronics,Semiurban,CUST71,Individual,2023-01-06,769.69,1,0.3,418.26
ORD1059,Smartphone,Electronics,Rural,CUST37,Individual,2023-08-15,1903.0,5,0.09,135.34
ORD1060,Smartwatch,Accessories,Urban,CUST10,Corporate,2022-07-16,688.21,1,0.14,274.45
ORD1061,Camera,Electronics,Urban,CUST50,Individual,2023-12-23,54.82,6,0.03,91.06
ORD1062,Smartwatch,Accessories,Semiurban,CUST65,Corporate,2022-03-13,1559.56,5,0.05,328.57
ORD1063,Smartwatch,Accessories,Urban,CUST58,Individual,2022-02-16,1478.81,2,0.01,185.82
ORD1064,Headphones,Accessories,Rural,CUST98,Corporate,2023-11-09,1475.32,2,0.09,328.4
ORD1065,Laptop,Accessories,Urban,CUST71,Corporate,2022-08-22,943.98,6,0.24,418.56
ORD1066,Laptop,Electronics,Semiurban,CUST36,Individual,2022-10-24,1345.08,3,0.09,260.75
ORD1067,Smartwatch,Electronics,Rural,CUST80,Corporate,2022-03-23,748.53,7,0.22,191.28
ORD1068,Keyboard,Accessories,Rural,CUST88,Individual,2022-08-27,173.49,3,0.03,454.09
ORD1069,Smartphone,Electronics,Semiurban,CUST79,Corporate,2022-04-14,1092.13,2,0.23,260.6
ORD1070,Keyboard,Electronics,Urban,CUST16,Individual,2023-01-25,474.77,9,0.01,179.68
ORD1071,Monitor,Electronics,Semiurban,CUST17,Corporate,2022-10-12,887.8,2,0.26,434.52
ORD1072,Smartwatch,Electronics,Semiurban,CUST13,Individual,2023-04-10,463.11,6,0.2,246.0
ORD1073,Monitor,Accessories,Urban,CUST51,Corporate,2023-10-13,573.65,10,0.05,243.64
ORD1074,Keyboard,Electronics,Rural,CUST48,Corporate,2023-01-09,1665.27,10,0.11,304.08
ORD1075,Monitor,Accessories,Urban,CUST44,Individual,2022-06-16,708.62,8,0.13,253.41
ORD1076,Smartwatch,Electronics,Urban,CUST72,Individual,2023-01-15,1176.97,1,0.19,73.79
ORD1077,Headphones,Electronics,Rural,CUST47,Individual,2022-12-30,1153.98,7,0.26,86.97
ORD1078,Laptop,Accessories,Rural,CUST97,Corporate,2022-08-03,996.41,3,0.03,43.16
ORD1079,Smartphone,Accessories,Semiurban,CUST19,Corporate,2023-11-18,720.29,10,0.24,323.52
ORD1080,Monitor,Accessories,Urban,CUST26,Individual,2022-10-01,1380.98,7,0.05,109.7
ORD1081,Smartwatch,Accessories,Rural,CUST78,Individual,2023-12-20,144.4,3,0.12,97.52
ORD1082,Headphones,Electronics,Urban,CUST66,Individual,2023-12-01,244.17,1,0.29,184.3
ORD1083,Mouse,Accessories,Urban,CUST52,Individual,2023-10-26,1578.59,2,0.08,360.06
ORD1084,Keyboard,Accessories,Rural,CUST65,Corporate,2022-03-15,946.18,6,0.12,63.57
ORD1085,Laptop,Electronics,Rural,CUST6,Individual,2023-09-16,292.26,4,0.26,119.02
ORD1086,Mouse,Electronics,Urban,CUST6,Corporate,2023-10-13,1722.42,4,0.24,406.53
ORD1087,Smartwatch,Accessories,Rural,CUST5,Corporate,2022-06-25,910.51,7,0.19,361.53
ORD1088,Smartphone,Accessories,Urban,CUST18,Individual,2023-07-01,51.32,9,0.24,243.35
ORD1089,Keyboard,Accessories,Rural,CUST92,Individual,2022-09-08,1918.16,9,0.03,242.01
ORD1090,Headphones,Accessories,Semiurban,CUST43,Individual,2022-06-17,444.52,5,0.21,109.3
ORD1091,Keyboard,Accessories,Rural,CUST61,Individual,2023-04-19,1392.75,5,0.02,84.82
ORD1092,Mouse,Accessories,Urban,CUST67,Corporate,2023-01-24,307.23,5,0.28,417.52
ORD1093,Mouse,Accessories,Rural,CUST59,Individual,2022-10-04,1317.49,4,0.05,16.11
ORD1094,Tablet,Electronics,Urban,CUST20,Individual,2023-10-18,360.01,2,0.12,26.36
ORD1095,Keyboard,Accessories,Rural,CUST78,Corporate,2023-12-06,1868.81,1,0.18,288.88
ORD1096,Mouse,Accessories,Urban,CUST66,Individual,2023-07-25,584.34,7,0.24,84.76
ORD1097,Monitor,Electronics,Urban,CUST18,Corporate,2022-08-13,1326.45,10,0.2,316.62
ORD1098,Mouse,Electronics,Rural,CUST42,Corporate,2023-12-03,538.26,9,0.05,24.4
ORD1099,Keyboard,Accessories,Urban,CUST79,Corporate,2022-11-29,775.1,8,0.11,288.27
ORD1100,Headphones,Accessories,Semiurban,CUST41,Corporate,2022-02-27,1812.41,3,0.11,32.68
ORD1101,Keyboard,Accessories,Semiurban,CUST21,Corporate,2022-08-23,372.77,1,0.01,132.84
ORD1102,Keyboard,Accessories,Rural,CUST51,Corporate,2022-02-02,822.87,6,0.21,94.12
ORD1103,Camera,Electronics,Urban,CUST79,Corporate,2022-11-20,645.74,1,0.25,479.33
ORD1104,Smartwatch,Accessories,Urban,CUST95,Corporate,2023-02-15,1413.91,7,0.29,301.68
ORD1105,Camera,Accessories,Urban,CUST39,Corporate,2022-10-02,506.58,2,0.04,283.98
ORD1106,Mouse,Electronics,Rural,CUST76,Corporate,2022-03-09,1328.2,5,0.28,14.22
ORD1107,Keyboard,Electronics,Rural,CUST44,Individual,2022-08-05,1422.21,10,0.03,361.18
ORD1108,Smartwatch,Accessories,Semiurban,CUST65,Corporate,2023-08-04,52.12,8,0.12,332.56
ORD1109,Camera,Accessories,Urban,CUST66,Corporate,2022-11-19,979.77,4,0.01,145.31
ORD1110,Keyboard,Electronics,Semiurban,CUST69,Individual,2022-08-06,308.76,2,0.08,47.45
ORD1111,Smartphone,Accessories,Rural,CUST63,Corporate,2023-11-03,491.07,1,0.09,227.36
ORD1112,Camera,Electronics,Rural,CUST91,Corporate,2023-05-27,1375.97,4,0.21,496.42
ORD1113,Smartwatch,Electronics,Semiurban,CUST73,Corporate,2023-02-10,68.11,3,0.2,434.31
ORD1114,Camera,Accessories,Urban,CUST39,Individual,2023-10-21,1406.41,5,0.23,89.43
ORD1115,Tablet,Electronics,Urban,CUST61,Individual,2023-04-15,1643.36,2,0.17,416.03
ORD1116,Tablet,Electronics,Urban,CUST3,Individual,2022-05-27,1976.9,8,0.17,302.42
ORD1117,Mouse,Electronics,Rural,CUST48,Individual,2022-09-29,873.51,2,0.29,398.33
ORD1118,Smartphone,Accessories,Urban,CUST43,Corporate,2022-05-23,307.74,5,0.2,411.12
ORD1119,Headphones,Accessories,Urban,CUST87,Corporate,2022-09-10,188.12,7,0.1,95.03
ORD1120,Headphones,Electronics,Semiurban,CUST15,Corporate,2023-07-29,796.99,8,0.16,331.53
ORD1121,Smartwatch,Accessories,Semiurban,CUST54,Individual,2023-07-06,1474.99,8,0.21,135.94
ORD1122,Monitor,Electronics,Semiurban,CUST75,Individual,2022-09-27,249.73,5,0.03,363.47
ORD1123,Headphones,Electronics,Semiurban,CUST40,Corporate,2023-08-22,661.04,2,0.2,174.62
ORD1124,Smartwatch,Accessories,Rural,CUST93,Individual,2023-03-15,1767.93,9,0.07,229.47
ORD1125,Smartphone,Accessories,Urban,CUST89,Corporate,2023-08-21,317.4,7,0.1,297.35
ORD1126,Monitor,Accessories,Rural,CUST81,Individual,2023-02-13,1558.25,3,0.2,118.76
ORD1127,Monitor,Electronics,Urban,CUST4,Corporate,2023-01-06,1518.66,6,0.12,195.8
ORD1128,Tablet,Electronics,Rural,CUST77,Corporate,2022-08-13,309.64,7,0.25,58.74
ORD1129,Mouse,Electronics,Urban,CUST61,Corporate,2022-05-22,1986.23,6,0.17,105.16
ORD1130,Keyboard,Accessories,Urban,CUST34,Corporate,2023-06-06,328.56,3,0.3,430.5
ORD1131,Monitor,Accessories,Urban,CUST84,Corporate,2023-05-21,1084.49,8,0.02,254.66
ORD1132,Laptop,Electronics,Rural,CUST100,Corporate,2022-04-04,66.53,1,0.19,212.8
ORD1133,Smartwatch,Accessories,Semiurban,CUST75,Individual,2022-02-18,1317.54,5,0.05,79.03
ORD1134,Monitor,Accessories,Semiurban,CUST74,Corporate,2022-04-23,908.19,8,0.25,52.67
ORD1135,Monitor,Accessories,Rural,CUST30,Individual,2022-06-06,1458.74,8,0.26,240.56
ORD1136,Laptop,Accessories,Urban,CUST93,Individual,2023-10-05,1274.76,5,0.26,309.3
ORD1137,Monitor,Electronics,Urban,CUST7,Corporate,2022-06-13,345.18,4,0.02,24.32
ORD1138,Keyboard,Accessories,Rural,CUST75,Individual,2023-11-28,852.83,5,0.15,393.01
ORD1139,Laptop,Electronics,Semiurban,CUST62,Individual,2023-03-09,1388.8,10,0.07,254.15
ORD1140,Tablet,Electronics,Semiurban,CUST22,Individual,2023-09-03,1726.93,1,0.29,63.17
ORD1141,Camera,Electronics,Urban,CUST68,Individual,2022-03-07,219.04,3,0.02,243.71
ORD1142,Monitor,Accessories,Semiurban,CUST81,Individual,2023-01-30,245.91,2,0.07,69.51
ORD1143,Monitor,Accessories,Semiurban,CUST93,Individual,2023-01-26,1517.27,2,0.19,303.72
ORD1144,Mouse,Electronics,Semiurban,CUST80,Corporate,2023-09-03,1199.67,6,0.12,414.62
ORD1145,Mouse,Accessories,Urban,CUST100,Individual,2023-04-25,798.86,9,0.07,449.0
ORD1146,Smartwatch,Electronics,Semiurban,CUST49,Individual,2023-06-26,1928.33,7,0.14,388.56
ORD1147,Keyboard,Accessories,Urban,CUST19,Individual,2022-09-15,663.28,10,0.24,326.37
ORD1148,Smartwatch,Electronics,Rural,CUST88,Individual,2023-07-21,322.67,4,0.13,263.41
ORD1149,Camera,Accessories,Rural,CUST32,Individual,2022-01-12,590.09,9,0.26,188.34
ORD1150,Monitor,Accessories,Urban,CUST5,Individual,2023-11-28,214.28,1,0.13,26.5
ORD1151,Keyboard,Accessories,Semiurban,CUST74,Corporate,2022-04-28,1129.12,7,0.04,267.26
ORD1152,Laptop,Accessories,Rural,CUST90,Corporate,2023-11-30,1220.02,9,0.15,118.6
ORD1153,Monitor,Accessories,Urban,CUST15,Individual,2023-07-04,1234.81,7,0.2,402.14
ORD1154,Tablet,Electronics,Semiurban,CUST25,Corporate,2022-10-01,1568.99,9,0.03,395.83
ORD1155,Monitor,Electronics,Rural,CUST3,Corporate,2023-10-19,1396.43,8,0.12,193.71
ORD1156,Headphones,Accessories,Urban,CUST57,Individual,2022-12-15,1703.39,10,0.17,296.58
ORD1157,Keyboard,Electronics,Semiurban,CUST41,Individual,2022-04-25,1333.89,4,0.0,371.99
ORD1158,Headphones,Accessories,Semiurban,CUST54,Corporate,2022-10-28,638.22,8,0.03,381.96
ORD1159,Mouse,Electronics,Urban,CUST20,Individual,2023-03-22,1059.61,5,0.18,349.87
ORD1160,Laptop,Electronics,Semiurban,CUST53,Individual,2022-06-11,1043.57,2,0.19,53.37
ORD1161,Monitor,Accessories,Rural,CUST89,Corporate,2023-04-10,1508.3,7,0.09,71.27
ORD1162,Laptop,Accessories,Urban,CUST27,Corporate,2022-01-04,626.31,1,0.15,241.18
ORD1163,Smartphone,Accessories,Semiurban,CUST53,Individual,2022-09-27,156.41,9,0.06,120.09
ORD1164,Monitor,Electronics,Semiurban,CUST65,Corporate,2023-05-28,1800.93,10,0.2,430.23
ORD1165,Headphones,Electronics,Semiurban,CUST100,Individual,2022-07-02,1911.61,9,0.29,145.22
